item_id,stage,milestone_id,org_id,outcome,first_fired.process_tracked,first_fired.hollow_owner,first_fired.gate_unassigned,first_fired.cross_org,first_fired.prior_slip,first_fired.org_overcommitted,first_fired.late_target
k8s:kep-2411,stable,k8s:v1.21,k8s:sig-node,shipped,,,,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-2420,alpha,k8s:v1.21,k8s:sig-testing,shipped,,,2021-02-15T23:59:59+00:00,2021-02-08T23:59:59+00:00,,,2021-02-08T23:59:59+00:00
k8s:kep-2420,beta,k8s:v1.21,k8s:sig-testing,shipped,,,,2021-02-08T23:59:59+00:00,,,2021-02-08T23:59:59+00:00
k8s:kep-2433,alpha,k8s:v1.21,k8s:sig-network,shipped,,,,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-2436,alpha,k8s:v1.21,k8s:sig-cloud-provider,shipped,,,,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00
k8s:kep-2458,beta,k8s:v1.21,k8s:sig-scheduling,slipped,,,,,,,2021-02-15T23:59:59+00:00
k8s:kep-2464,alpha,k8s:v1.21,k8s:sig-testing,unresolved,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00
k8s:kep-277,beta,k8s:v1.21,k8s:sig-node,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,,2021-01-11T23:59:59+00:00,
k8s:kep-34,stable,k8s:v1.21,k8s:sig-node,shipped,,,,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-555,stable,k8s:v1.21,k8s:sig-api-machinery,slipped,,,,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-563,beta,k8s:v1.21,k8s:sig-network,unresolved,2021-02-15T23:59:59+00:00,,,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00
k8s:kep-592,beta,k8s:v1.21,k8s:sig-apps,shipped,2021-01-25T23:59:59+00:00,,,2021-01-25T23:59:59+00:00,,,2021-01-25T23:59:59+00:00
k8s:kep-647,alpha,k8s:v1.21,k8s:sig-instrumentation,slipped,,,,2021-02-15T23:59:59+00:00,2021-02-15T23:59:59+00:00,,2021-02-15T23:59:59+00:00
k8s:kep-695,stable,k8s:v1.21,k8s:sig-storage,slipped,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-02-15T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,2021-01-11T23:59:59+00:00,
